ID:Trm0560n-Tenore 	L1167	V4:	perche ne gl’occhi miei
ID:Trm0560n-Basso  	L1186	V4:	perche ne gl’occhi miei
ID:Trm0560n-Quinto 	L1205	V4:	[LACUNA IN SOURCE]
ID:Trm0560o-Canto  	L1224	V4:	Perche ne gl’occhi miei
ID:Trm0560o-Alto   	L1243	V4:	Perche ne gl’occhi miei
ID:Trm0560o-Tenore 	L1262	V4:	Perche ne gl’occhi miei
ID:Trm0560o-Basso  	L1281	V4:	[TACET]
ID:Trm0560o-Quinto 	L1300	V4:	Perche ne gl’occhi miei
ID:Trm0560p-Alto   	L1319	V4:	Perche nell’occhi miei
ID:Trm0560p-Basso  	L1338	V4:	Perche nell’occhi miei

ID:E1              	L25	V5:	fiso tu rivolgessi,
ID:S8              	L88	V5:	Fiso tu rivolgessi
ID:S9              	L107	V5:	Fiso tu rivolgessi
ID:S11             	L126	V5:	Fiso tu rivolgessi
ID:S12             	L145	V5:	Fiso tu rivolgessi
ID:S13             	L164	V5:	Fiso tu rivolgessi
ID:S145            	L249	V5:	Fiso, tù rivolgessi
ID:Trm0560a-Canto  	L290	V5:	Fiso ne lumi miei
ID:Trm0560a-Alto   	L309	V5:	Fiso ne lumi miei
ID:Trm0560a-Tenore 	L328	V5:	Fiso ne lumi miei
ID:Trm0560a-Basso  	L347	V5:	Fiso [TACET]
ID:Trm0560a-Quinto 	L366	V5:	Fiso ne lumi miei
ID:Trm0560b-Canto  	L385	V5:	Spesso ne lumi miei
ID:Trm0560b-Alto   	L404	V5:	Spesso ne lumi miei
ID:Trm0560b-Tenore 	L423	V5:	[TACET]
ID:Trm0560b-Basso  	L442	V5:	Spesso ne lumi miei
ID:Trm0560b-Quinto 	L461	V5:	Spesso ne lumi miei
ID:Trm0560c-Canto  	L480	V5:	Fisso ne’ lumi miei
ID:Trm0560c-Alto   	L499	V5:	Fisso ne’ lumi miei
ID:Trm0560c-Tenore 	L518	V5:	Fisso ne’ lumi miei
ID:Trm0560c-Basso  	L537	V5:	Fisso ne’ lumi miei
ID:Trm0560c-Quinto 	L556	V5:	Fisso ne’ lumi miei
ID:Trm0560c-Sesto  	L575	V5:	Fisso ne’ lumi miei
ID:Trm0560d-Canto  	L594	V5:	Fisso ne gl’occhi miei
ID:Trm0560d-Alto   	L613	V5:	Fisso ne gl’occhi miei
ID:Trm0560d-Basso  	L632	V5:	Fisso ne gl’occhi miei
ID:Trm0560f-Canto  	L706	V5:	fiso ne lumi miei
ID:Trm0560f-Alto   	L725	V5:	fiso [TACET]
ID:Trm0560f-Tenore 	L744	V5:	fiso [TACET]
ID:Trm0560f-Basso  	L763	V5:	fiso [TACET]
ID:Trm0560f-Quinto 	L783	V5:	fiso ne’ lumi miei
ID:Trm0560h-Alto   	L857	V5:	Fiso tu rivolgessi
ID:Trm0560h-Tenore 	L876	V5:	Fiso tu rivolgessi
ID:Trm0560h-Quinto 	L895	V5:	Fiso tu rivolgessi
ID:Trm0560k-Tenore 	L1013	V5:	fisso tu rivolgessi
ID:Trm0560m-Canto  	L1054	V5:	Fisso tu rivolgessi
ID:Trm0560m-Alto   	L1073	V5:	Fisso tu rivolgessi
ID:Trm0560m-Tenore 	L1092	V5:	Fisso tu rivolgessi
ID:Trm0560m-Basso  	L1111	V5:	Fisso tu rivolgessi
ID:Trm0560n-Canto  	L1130	V5:	fiso tu rivolgessi
ID:Trm0560n-Alto   	L1149	V5:	fiso tu rivolgessi
ID:Trm0560n-Tenore 	L1168	V5:	fiso tu rivolgessi
ID:Trm0560n-Basso  	L1187	V5:	fiso tu rivolgessi
