ID:S28             	L109	V20:	E ’nanzi à l’Alba, che nel ciel sorgea,
ID:S141            	L149	V20:	E ’nanzi a l’Alba, che nel Ciel sorgea,
ID:S166            	L188	V20:	E ’nanzi a l’Alba, che nel Ciel sorgea,
ID:S169            	L227	V20:	[ABSENT]
ID:Trm0379b-Canto  	L306	V20:	[ABSENT]
ID:Trm0379b-Alto   	L346	V20:	[ABSENT]
ID:Trm0379b-Tenore 	L386	V20:	[ABSENT]
ID:Trm0379b-Basso  	L426	V20:	[ABSENT]
ID:Trm0379b-Quinto 	L466	V20:	[ABSENT]

ID:E1              	L42	V21:	e questa, e quella impallidir vedea
ID:S28             	L110	V21:	E questa, e quella impallidir vedea
ID:S141            	L150	V21:	E questa, e quella impallidir vedea
ID:S166            	L189	V21:	E questa, e quella impallidir vedea
ID:S169            	L228	V21:	[ABSENT]
ID:Trm0379b-Canto  	L307	V21:	E quest'e quella impallidir vedea
ID:Trm0379b-Alto   	L347	V21:	E quest'e quella impallidir vedea
ID:Trm0379b-Tenore 	L387	V21:	E quest'e quella impallidir vedea
ID:Trm0379b-Basso  	L427	V21:	E quest'e quella impallidir vedea
ID:Trm0379b-Quinto 	L467	V21:	E quest'e quella impallidir vedea

ID:E1              	L43	V22:	le bellissime rose
ID:S28             	L111	V22:	Le bellissime rose
ID:S141            	L151	V22:	Le bellissime rose
ID:S166            	L190	V22:	Le bellissime rose
ID:S169            	L229	V22:	[ABSENT]
ID:Trm0379b-Canto  	L308	V22:	Le bellissime rose
ID:Trm0379b-Alto   	L348	V22:	Le bellissime rose
ID:Trm0379b-Tenore 	L388	V22:	[TACET]
ID:Trm0379b-Basso  	L428	V22:	Le bellissime rose
ID:Trm0379b-Quinto 	L468	V22:	Le bellissime rose

ID:E1              	L44	V23:	Ne le labbra amorose,
ID:S28             	L112	V23:	Ne le labbra amorose,
ID:S141            	L152	V23:	Ne le labra amorose,
ID:S166            	L191	V23:	Ne le labra amorose,
ID:S169            	L230	V23:	[ABSENT]
ID:Trm0379b-Canto  	L309	V23:	Nelle labr'amorose
ID:Trm0379b-Alto   	L349	V23:	Nelle labr'amorose
ID:Trm0379b-Tenore 	L389	V23:	Nelle labr'amorose
ID:Trm0379b-Basso  	L429	V23:	[TACET]
ID:Trm0379b-Quinto 	L469	V23:	[TACET]

ID:E1              	L45	V24:	e gli occhi scintillar come facella.
ID:S28             	L113	V24:	E gli occhi scintillar, come facella.
ID:S141            	L153	V24:	E gli occhi scintillar, come facella.
ID:S166            	L192	V24:	E gli occhi scintillar, come facella.
ID:S169            	L231	V24:	[ABSENT]
ID:Trm0379b-Canto  	L310	V24:	E gl'occhi scintillar come facella.
ID:Trm0379b-Alto   	L350	V24:	E gl'occhi scintillar come facella.
ID:Trm0379b-Tenore 	L390	V24:	E gl'occhi scintillar come facella.
ID:Trm0379b-Basso  	L430	V24:	E gl'occhi scintillar come facella.
ID:Trm0379b-Quinto 	L470	V24:	E gl'occhi scintillar come facella.

ID:E1              	L47	V25:	e come d’alma, che si parta, e svella
ID:S28             	L115	V25:	E come l’alma, che si parta, e svella
ID:S141            	L154	V25:	E come d’alma, che si parta, e svella
ID:S166            	L193	V25:	E come d’alma, che si parta, e svella
ID:S169            	L232	V25:	[ABSENT]
ID:Trm0379b-Canto  	L311	V25:	[ABSENT]
ID:Trm0379b-Alto   	L351	V25:	[ABSENT]
ID:Trm0379b-Tenore 	L391	V25:	[ABSENT]
ID:Trm0379b-Basso  	L431	V25:	[ABSENT]
ID:Trm0379b-Quinto 	L471	V25:	[ABSENT]

ID:E1              	L48	V26:	fu la partenza loro
ID:S28             	L116	V26:	Fu la partenza loro;
ID:S141            	L155	V26:	Fu la partenza loro:
ID:S166            	L194	V26:	Fu la partenza loro:
ID:S169            	L233	V26:	[ABSENT]
ID:Trm0379b-Canto  	L312	V26:	[ABSENT]
ID:Trm0379b-Alto   	L352	V26:	[ABSENT]
ID:Trm0379b-Tenore 	L392	V26:	[ABSENT]
ID:Trm0379b-Basso  	L432	V26:	[ABSENT]
ID:Trm0379b-Quinto 	L472	V26:	[ABSENT]

ID:E1              	L49	V27:	a Dio, che parto, e moro
ID:S28             	L117	V27:	A Dio, che parto, e moro,
ID:S141            	L156	V27:	A Dio, ché parto, e moro,
ID:S166            	L195	V27:	A Dio, ché parto, e moro,
ID:S169            	L234	V27:	[ABSENT]
ID:Trm0379b-Canto  	L313	V27:	[ABSENT]
ID:Trm0379b-Alto   	L353	V27:	[ABSENT]
ID:Trm0379b-Tenore 	L393	V27:	[ABSENT]
ID:Trm0379b-Basso  	L433	V27:	[ABSENT]
ID:Trm0379b-Quinto 	L473	V27:	[ABSENT]

ID:E1              	L50	V28:	Dolce languir, dolce partita, e fella!
ID:S28             	L118	V28:	Dolce languir, dolce partita, e fella.
ID:S141            	L157	V28:	Dolce languir, dolce partita, e fella!
ID:S166            	L196	V28:	Dolce languir, dolce partita, e fella!
ID:S169            	L235	V28:	[ABSENT]
ID:Trm0379b-Canto  	L314	V28:	[ABSENT]
ID:Trm0379b-Alto   	L354	V28:	[ABSENT]
ID:Trm0379b-Tenore 	L394	V28:	[ABSENT]
ID:Trm0379b-Basso  	L434	V28:	[ABSENT]
ID:Trm0379b-Quinto 	L474	V28:	[ABSENT]

