ID:A-CM            	L61	V8:	Che non so s'io mi chiami ò donna ò fera
ID:A-1580D         	L113	V8:	Che non so, se mi chiami, ò donna, ò fera:
ID:A-1581Bbis      	L154	V8:	Che non sò s'io mi chiami ò donna, ò fera,
ID:A-1581O         	L206	V8:	Che non sò s'io mi chiami ò donna, ò fera,
ID:Tam1020338a-Canto	L786	V8:	Che non sò s’io mi chiami ò donna ò fera
ID:Tam1020338a-Basso	L816	V8:	Che non sò s’io mi chiami ò donna ò fera
ID:Tam1020338a-Quinto	L845	V8:	Che non sò s’io mi chiami ò donna ò fera
ID:Tam1020338b-Canto	L875	V8:	Ch’io non sò se mi Chiami Donna ò Fera
ID:Tam1020338c-Canto	L905	V8:	[TACET] Ò Donna ò Fera
ID:Tam1020338c-Tenore	L964	V8:	Ma nega d’esser Donna
ID:Tam1020338c-Basso	L992	V8:	Che non sò s’io mi chiami ò Donna ò Fera
ID:Tam1020338c-Quinto	L1019	V8:	Ma nega d’esser Donna
ID:Tam1020338c-Sesto	L1049	V8:	[TACET]
ID:Tam1020338d-Canto	L1078	V8:	che non sò s’io mi chiami ò donna, ò fera.
ID:Tam1020338d-Alto	L1108	V8:	che non sò s’io mi chiami ò donna, ò fera.
ID:Tam1020338d-Tenore	L1138	V8:	che non sò s’io mi chiami ò donna, ò fera.
ID:Tam1020338d-Basso	L1168	V8:	che non sò s’io mi chiami ò donna, ò fera.
ID:Tam1020338d-Quinto	L1198	V8:	che non sò s’io mi chiami ò donna, ò fera.
ID:Tam1020338e-Canto	L1228	V8:	Ch’io non sò s’io mi chiamo ó Donna ó fera
ID:Tam1020338f-Canto	L1258	V8:	Che non so s’io la chiami [TACET]
ID:Tam1020338f-Alto	L1288	V8:	Che non so s’io [ILLEGIBLE] chiami o [ILLEGIBLE]
ID:Tam1020338f-Tenore	L1318	V8:	Che non so s’io [ILLEGIBLE] chiami o [ILLEGIBLE]
ID:Tam1020338f-Quinto	L1348	V8:	Che non so s’io [ILLEGIBLE] chiami o [ILLEGIBLE]

ID:A-CM            	L62	V9:	Ma niega d’esser donna
ID:A-1580D         	L114	V9:	Mà nega d’esser donna,
ID:A-1581Bbis      	L155	V9:	Ma niega d’esser donna
ID:A-1581O         	L207	V9:	Ma niega d’esser donna
ID:Tam1020338a-Canto	L787	V9:	Ma niega d’esser donna
ID:Tam1020338a-Basso	L817	V9:	[TACET]
ID:Tam1020338a-Quinto	L846	V9:	Ma niega d’esser donna
ID:Tam1020338b-Canto	L876	V9:	Ma nega d’esser Donna
ID:Tam1020338c-Canto	L906	V9:	Ma nega d’esser Donna
ID:Tam1020338c-Tenore	L965	V9:	Poi che nega pietate
ID:Tam1020338c-Basso	L993	V9:	[TACET]
ID:Tam1020338c-Quinto	L1020	V9:	Poi che nega pietate
ID:Tam1020338c-Sesto	L1050	V9:	Poi che nega pietate
ID:Tam1020338d-Canto	L1079	V9:	Ma nega d’esser donna,
ID:Tam1020338d-Alto	L1109	V9:	Ma nega d’esser donna,
ID:Tam1020338d-Tenore	L1139	V9:	Ma nega d’esser donna,
ID:Tam1020338d-Basso	L1169	V9:	Ma nega d’esser donna,
ID:Tam1020338d-Quinto	L1199	V9:	Ma nega d’esser donna,
ID:Tam1020338e-Canto	L1229	V9:	Ma negha d’esser donna
ID:Tam1020338f-Canto	L1259	V9:	Ma nega d’esser donna
ID:Tam1020338f-Alto	L1289	V9:	Ma [ILLEGIBLE]
ID:Tam1020338f-Tenore	L1319	V9:	Ma [ILLEGIBLE]
ID:Tam1020338f-Quinto	L1349	V9:	Ma [ILLEGIBLE]

ID:A-CM            	L63	V10:	Poiche nega pietate
ID:A-1580D         	L115	V10:	Poi che nega pietade
ID:A-1581Bbis      	L156	V10:	Poiche nega pietate
ID:A-1581O         	L208	V10:	Poiche nega pietate
ID:Tam1020338a-Canto	L788	V10:	Poiche niega pietà
ID:Tam1020338a-Basso	L818	V10:	Ah che non la negaro
ID:Tam1020338a-Quinto	L847	V10:	Poiche niega pietà
ID:Tam1020338b-Canto	L877	V10:	Poi che nega pietate
ID:Tam1020338c-Canto	L907	V10:	Poi che nega pietate
ID:Tam1020338c-Tenore	L966	V10:	A chi non la negaro
ID:Tam1020338c-Basso	L994	V10:	Pasce l’Agna l’herbette [TACET]
ID:Tam1020338c-Quinto	L1021	V10:	A chi non la negaro
ID:Tam1020338c-Sesto	L1051	V10:	A chi non la negaro
ID:Tam1020338d-Canto	L1080	V10:	Poi che nega pietate
ID:Tam1020338d-Alto	L1110	V10:	Poi che nega pietate
ID:Tam1020338d-Tenore	L1140	V10:	Poi che nega pietate
ID:Tam1020338d-Basso	L1170	V10:	poi che nega pietate
ID:Tam1020338d-Quinto	L1200	V10:	poi che nega pietate
ID:Tam1020338e-Canto	L1230	V10:	Poi che negha pietate
ID:Tam1020338f-Canto	L1260	V10:	Poiche nega pietate
ID:Tam1020338f-Alto	L1290	V10:	Poiche [ILLEGIBLE]
ID:Tam1020338f-Tenore	L1320	V10:	Poiche [ILLEGIBLE]
ID:Tam1020338f-Quinto	L1350	V10:	Poiche [ILLEGIBLE]

ID:A-CM            	L64	V11:	À chi non la negaro
ID:A-1580D         	L116	V11:	A chi non la negaro
ID:A-1581Bbis      	L157	V11:	À chi non la negaro
ID:A-1581O         	L209	V11:	A chi non la negaro
ID:Tam1020338a-Canto	L789	V11:	Ah che non la negaro
ID:Tam1020338a-Basso	L819	V11:	le cose inanimate.
ID:Tam1020338a-Quinto	L848	V11:	Ah che non la negaro
ID:Tam1020338b-Canto	L878	V11:	A chi non la negaro
ID:Tam1020338c-Canto	L908	V11:	A chi non la negaro
ID:Tam1020338c-Tenore	L967	V11:	Le cose inanimate
ID:Tam1020338c-Basso	L995	V11:	Ma il crudo Amor di lagrime si pasce,
ID:Tam1020338c-Quinto	L1022	V11:	Le cose inanimate
ID:Tam1020338c-Sesto	L1052	V11:	Le cose inanimate
ID:Tam1020338d-Canto	L1081	V11:	A chi non la negaro
ID:Tam1020338d-Alto	L1111	V11:	A chi non la negaro
ID:Tam1020338d-Tenore	L1141	V11:	A chi non la negaro
ID:Tam1020338d-Basso	L1171	V11:	A chi non la negaro
ID:Tam1020338d-Quinto	L1201	V11:	A chi non la negaro
ID:Tam1020338e-Canto	L1231	V11:	a chi non la negharo
ID:Tam1020338f-Canto	L1261	V11:	A cui non la negaro
ID:Tam1020338f-Alto	L1291	V11:	A cui non la negaro
ID:Tam1020338f-Tenore	L1321	V11:	A cui non la negaro
ID:Tam1020338f-Quinto	L1351	V11:	A cui non la negaro

ID:A-CM            	L65	V12:	Le cose inanimate
ID:A-1580D         	L117	V12:	Le cose inanimate.
ID:A-1581Bbis      	L158	V12:	Le cose inanimate.
ID:A-1581O         	L210	V12:	Le cose inanimate.
ID:Tam1020338a-Canto	L790	V12:	le cose inanimate.
ID:Tam1020338a-Basso	L820	V12:	[ABSENT]
ID:Tam1020338a-Quinto	L849	V12:	le cose inanimate.
ID:Tam1020338b-Canto	L879	V12:	Le cose innanimate.
ID:Tam1020338c-Canto	L909	V12:	Le cose inanimate
ID:Tam1020338c-Tenore	L968	V12:	[TACET] Il Lupo l’Agno
ID:Tam1020338c-Basso	L996	V12:	Ne se ne mostra mai satollo [TACET]
ID:Tam1020338c-Quinto	L1023	V12:	Pasce l’Agna l’herbette Il Lupo l’Agno
ID:Tam1020338c-Sesto	L1053	V12:	Pasce l’Agna l’herbette [TACET]
